
2025/02/18 (15:30:28) | ===> btop++ v.1.4.0
2025/02/18 (15:30:28) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/18 (22:41:25) | ===> btop++ v.1.4.0
2025/02/18 (22:41:25) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/04 (13:11:50) | ===> btop++ v.1.4.0
2025/03/04 (13:11:50) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/04 (17:26:44) | ===> btop++ v.1.4.0
2025/03/04 (17:26:44) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/06 (10:03:48) | ===> btop++ v.1.4.0
2025/03/06 (10:03:48) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/06 (14:22:43) | ===> btop++ v.1.4.0
2025/03/06 (14:22:43) | WARNING: Intel GPU: Failed to initialize PMU
